"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2025","16,306.2","16,270.0","16,314.6","16,259.4","","0.29%"
"05/27/2025","16,259.4","16,270.0","16,281.0","16,225.0","","0.12%"
"05/26/2025","16,240.0","16,185.0","16,245.0","16,155.0","","0.21%"
"05/25/2025","16,206.0","16,215.0","16,218.0","16,206.0","","-0.07%"
"05/23/2025","16,217.5","16,320.0","16,330.5","16,215.0","","-0.69%"
"05/22/2025","16,330.0","16,332.5","16,342.5","16,285.0","","-0.40%"
"05/21/2025","16,395.0","16,412.5","16,425.0","16,357.5","","-0.12%"
"05/20/2025","16,415.0","16,420.0","16,429.0","16,380.0","","-0.09%"
"05/19/2025","16,430.0","16,465.0","16,480.0","16,425.0","","-0.06%"
"05/16/2025","16,440.0","16,470.0","16,495.0","16,392.5","","-0.45%"
"05/15/2025","16,515.0","16,555.0","16,572.5","16,502.5","","-0.21%"
"05/14/2025","16,550.0","16,560.0","16,592.5","16,536.5","","0.21%"
"05/13/2025","16,515.0","16,515.0","16,515.0","16,515.0","","0.00%"
"05/12/2025","16,515.0","16,515.0","16,515.0","16,515.0","","0.00%"
"05/09/2025","16,515.0","16,537.5","16,565.0","16,500.0","","0.13%"
"05/08/2025","16,494.0","16,550.0","16,577.5","16,432.5","","-0.25%"
"05/07/2025","16,535.0","16,470.0","16,545.0","16,465.0","","0.52%"
"05/06/2025","16,450.0","16,465.0","16,492.5","16,435.0","","0.09%"
"05/05/2025","16,435.0","16,410.0","16,460.0","16,375.0","","0.00%"
"05/02/2025","16,435.0","16,615.0","16,615.0","16,424.5","","-0.99%"
"05/01/2025","16,600.0","16,600.0","16,600.0","16,600.0","","0.00%"
"04/30/2025","16,600.0","16,715.0","16,742.5","16,597.5","","-0.95%"
"04/29/2025","16,760.0","16,810.0","16,815.0","16,759.5","","-0.56%"
"04/28/2025","16,855.0","16,835.0","16,867.0","16,830.0","","0.15%"
"04/25/2025","16,830.0","16,825.0","16,842.5","16,807.5","","-0.24%"
"04/24/2025","16,870.0","16,867.5","16,887.5","16,862.5","","0.03%"
"04/23/2025","16,865.0","16,870.0","16,887.5","16,855.0","","0.06%"
"04/22/2025","16,855.0","16,835.0","16,867.5","16,835.0","","0.33%"
"04/21/2025","16,800.0","16,825.0","16,837.5","16,795.0","","-0.12%"
"04/18/2025","16,820.0","16,820.0","16,820.0","16,820.0","","0.00%"
"04/17/2025","16,820.0","16,830.0","16,845.0","16,802.5","","0.00%"
"04/16/2025","16,820.0","16,815.0","16,855.0","16,815.0","","0.06%"
"04/15/2025","16,810.0","16,782.5","16,825.0","16,770.0","","0.24%"
"04/14/2025","16,770.0","16,787.5","16,793.5","16,750.0","","-0.12%"
"04/11/2025","16,790.0","16,797.5","16,820.0","16,765.0","","-0.03%"
"04/10/2025","16,795.0","16,815.0","16,815.0","16,727.5","","-0.39%"
"04/09/2025","16,860.0","16,925.0","16,972.5","16,862.5","","0.00%"
"04/08/2025","16,860.0","16,852.5","16,874.0","16,825.0","","1.84%"
"04/07/2025","16,555.0","16,555.0","16,555.0","16,555.0","","0.00%"
"04/04/2025","16,555.0","16,555.0","16,555.0","16,555.0","","0.00%"
"04/03/2025","16,555.0","16,555.0","16,555.0","16,555.0","","0.00%"
"04/02/2025","16,555.0","16,555.0","16,555.0","16,555.0","","0.00%"
"04/01/2025","16,555.0","16,555.0","16,555.0","16,555.0","","0.00%"
"03/31/2025","16,555.0","16,555.0","16,555.0","16,555.0","","0.00%"
"03/28/2025","16,555.0","16,555.0","16,555.0","16,555.0","","0.00%"
"03/27/2025","16,555.0","16,610.0","16,615.0","16,541.5","","-0.12%"
"03/26/2025","16,575.0","16,605.0","16,615.0","16,560.0","","-0.09%"
"03/25/2025","16,590.0","16,597.5","16,645.0","16,587.5","","0.24%"
"03/24/2025","16,550.0","16,495.0","16,570.0","16,495.0","","0.33%"
"03/21/2025","16,495.0","16,497.5","16,516.5","16,475.0","","0.15%"
"03/20/2025","16,470.0","16,530.0","16,537.5","16,460.0","","-0.30%"
"03/19/2025","16,520.0","16,500.0","16,537.5","16,485.0","","0.61%"
"03/18/2025","16,420.0","16,400.0","16,477.5","16,386.5","","0.15%"
"03/17/2025","16,395.0","16,325.0","16,402.5","16,315.0","","0.31%"
"03/14/2025","16,345.0","16,405.0","16,417.5","16,347.5","","-0.46%"
"03/13/2025","16,420.0","16,465.0","16,467.5","16,400.0","","-0.12%"
"03/12/2025","16,440.0","16,440.0","16,465.0","16,430.0","","0.24%"
"03/11/2025","16,400.0","16,385.0","16,451.0","16,377.5","","0.40%"
"03/10/2025","16,335.0","16,295.0","16,355.0","16,285.0","","0.28%"
"03/07/2025","16,290.0","16,335.0","16,360.0","16,292.0","","-0.21%"
"03/06/2025","16,325.0","16,275.0","16,345.0","16,260.0","","0.09%"
"03/05/2025","16,310.0","16,410.0","16,437.5","16,307.5","","-0.79%"
"03/04/2025","16,440.0","16,450.0","16,467.5","16,425.0","","-0.21%"
"03/03/2025","16,475.0","16,540.0","16,545.0","16,475.0","","-0.60%"
"02/28/2025","16,575.0","16,535.0","16,592.5","16,515.0","","0.79%"
"02/27/2025","16,445.0","16,390.0","16,455.0","16,390.0","","0.49%"
"02/26/2025","16,365.0","16,352.5","16,410.0","16,287.5","","0.15%"
"02/25/2025","16,340.0","16,290.0","16,357.5","16,280.0","","0.43%"
"02/24/2025","16,270.0","16,310.0","16,327.5","16,270.0","","-0.18%"
"02/21/2025","16,300.0","16,290.0","16,317.5","16,272.5","","-0.15%"
"02/20/2025","16,325.0","16,355.0","16,372.5","16,322.0","","-0.03%"
"02/19/2025","16,330.0","16,320.0","16,372.5","16,307.5","","0.37%"
"02/18/2025","16,270.0","16,237.5","16,293.5","16,232.5","","0.37%"
"02/17/2025","16,210.0","16,185.0","16,227.0","16,174.0","","-0.28%"
"02/14/2025","16,255.0","16,290.0","16,315.0","16,247.5","","-0.58%"
"02/13/2025","16,350.0","16,385.0","16,400.0","16,348.5","","-0.06%"
"02/12/2025","16,360.0","16,357.5","16,380.5","16,346.5","","-0.06%"
"02/11/2025","16,370.0","16,367.5","16,390.0","16,355.0","","0.18%"
"02/10/2025","16,340.0","16,320.0","16,357.5","16,317.5","","0.43%"
"02/07/2025","16,270.0","16,332.5","16,350.0","16,275.0","","-0.34%"
"02/06/2025","16,325.0","16,292.5","16,345.0","16,287.0","","0.28%"
"02/05/2025","16,280.0","16,315.0","16,335.0","16,285.0","","-0.37%"
"02/04/2025","16,340.0","16,370.0","16,382.5","16,345.0","","-0.55%"
"02/03/2025","16,430.0","16,400.0","16,472.5","16,392.5","","0.83%"
"01/31/2025","16,295.0","16,280.0","16,322.5","16,280.0","","0.25%"
"01/30/2025","16,255.0","16,235.0","16,275.0","16,221.5","","0.53%"
"01/29/2025","16,170.0","16,170.0","16,170.0","16,170.0","","0.00%"
"01/28/2025","16,170.0","16,170.0","16,170.0","16,170.0","","0.00%"
"01/27/2025","16,170.0","16,170.0","16,170.0","16,170.0","","0.00%"
"01/24/2025","16,170.0","16,260.0","16,260.0","16,150.0","","-0.65%"
"01/23/2025","16,275.0","16,265.0","16,317.5","16,237.5","","-0.03%"
"01/22/2025","16,280.0","16,305.0","16,341.0","16,280.0","","-0.31%"
"01/21/2025","16,330.0","16,310.0","16,347.5","16,290.0","","-0.15%"
"01/20/2025","16,355.0","16,365.0","16,387.5","16,347.5","","-0.03%"
"01/17/2025","16,360.0","16,365.0","16,375.0","16,345.0","","0.03%"
"01/16/2025","16,355.0","16,355.0","16,390.0","16,347.5","","0.25%"
"01/15/2025","16,315.0","16,290.0","16,340.0","16,281.5","","0.34%"
"01/14/2025","16,260.0","16,270.0","16,282.5","16,250.0","","-0.06%"
"01/13/2025","16,270.0","16,247.5","16,292.5","16,232.5","","0.56%"
"01/10/2025","16,180.0","16,212.5","16,215.0","16,170.0","","-0.09%"
"01/09/2025","16,195.0","16,240.0","16,267.5","16,200.0","","0.03%"
"01/08/2025","16,190.0","16,167.5","16,215.0","16,157.5","","0.40%"
"01/07/2025","16,125.0","16,175.0","16,195.0","16,127.5","","-0.40%"
"01/06/2025","16,190.0","16,200.0","16,212.5","16,165.0","","0.03%"
"01/03/2025","16,185.0","16,225.0","16,245.0","16,190.0","","-0.03%"
"01/02/2025","16,190.0","16,200.0","16,262.5","16,174.5","","0.62%"
"01/01/2025","16,090.0","16,090.0","16,090.0","16,090.0","","0.00%"
"12/31/2024","16,090.0","16,090.0","16,172.5","16,070.0","","-0.25%"
"12/30/2024","16,130.0","16,175.0","16,195.0","16,127.5","","-0.62%"
"12/27/2024","16,230.0","16,207.5","16,260.0","16,205.0","","0.28%"
"12/26/2024","16,185.0","16,185.0","16,185.0","16,185.0","","0.00%"
"12/25/2024","16,185.0","16,185.0","16,185.0","16,185.0","","0.00%"
"12/24/2024","16,185.0","16,155.0","16,220.0","16,155.0","","0.09%"
"12/23/2024","16,170.0","16,182.5","16,197.5","16,125.0","","-0.12%"
"12/20/2024","16,190.0","16,315.0","16,322.5","16,192.0","","-0.58%"
"12/19/2024","16,285.0","16,205.0","16,305.0","16,185.0","","1.24%"
"12/18/2024","16,085.0","16,102.5","16,122.5","16,078.5","","0.16%"
"12/17/2024","16,060.0","16,020.0","16,071.5","16,012.5","","0.41%"
"12/16/2024","15,995.0","16,005.0","16,029.0","15,992.5","","0.03%"
"12/13/2024","15,990.0","15,965.0","16,002.5","15,955.0","","0.44%"
"12/12/2024","15,920.0","15,940.0","15,955.0","15,925.0","","0.06%"
"12/11/2024","15,910.0","15,880.0","15,922.5","15,877.0","","0.32%"
"12/10/2024","15,860.0","15,855.0","15,883.5","15,847.5","","0.00%"
"12/09/2024","15,860.0","15,855.0","15,877.5","15,832.5","","0.09%"
"12/06/2024","15,845.0","15,860.0","15,862.5","15,832.5","","-0.06%"
"12/05/2024","15,855.0","15,912.5","15,927.5","15,859.5","","-0.44%"
"12/04/2024","15,925.0","15,955.0","15,977.5","15,925.0","","-0.06%"
"12/03/2024","15,935.0","15,925.0","15,964.0","15,920.0","","0.25%"
"12/02/2024","15,895.0","15,870.0","15,917.5","15,865.0","","0.35%"
"11/29/2024","15,840.0","15,865.0","15,877.5","15,835.0","","-0.16%"
"11/28/2024","15,865.0","15,875.0","15,891.5","15,840.0","","-0.38%"
"11/27/2024","15,925.0","15,925.0","15,925.0","15,925.0","","0.00%"
"11/26/2024","15,925.0","15,912.5","15,939.5","15,895.0","","0.38%"
"11/25/2024","15,865.0","15,880.0","15,887.5","15,846.5","","-0.03%"
"11/22/2024","15,870.0","15,930.0","15,937.5","15,875.0","","-0.31%"
"11/21/2024","15,920.0","15,905.0","15,956.5","15,900.0","","0.38%"
"11/20/2024","15,860.0","15,845.0","15,875.0","15,830.0","","0.22%"
"11/19/2024","15,825.0","15,810.0","15,837.5","15,790.0","","-0.13%"
"11/18/2024","15,845.0","15,865.0","15,877.5","15,830.0","","-0.03%"
"11/15/2024","15,850.0","15,915.0","15,967.5","15,855.0","","0.00%"
"11/14/2024","15,850.0","15,820.0","15,892.5","15,817.5","","0.51%"
"11/13/2024","15,770.0","15,765.0","15,797.5","15,752.5","","-0.03%"
"11/12/2024","15,775.0","15,745.0","15,798.5","15,732.5","","0.64%"
"11/11/2024","15,675.0","15,640.0","15,691.0","15,632.5","","0.06%"
"11/08/2024","15,665.0","15,625.0","15,697.5","15,617.5","","-0.41%"
"11/07/2024","15,730.0","15,815.0","15,830.0","15,735.0","","-0.60%"
"11/06/2024","15,825.0","15,787.5","15,862.5","15,787.5","","0.60%"
"11/05/2024","15,730.0","15,780.0","15,795.0","15,725.0","","-0.13%"
"11/04/2024","15,750.0","15,735.0","15,776.0","15,717.5","","0.22%"
"11/01/2024","15,715.0","15,705.0","15,732.5","15,698.5","","0.16%"
"10/31/2024","15,690.0","15,700.0","15,715.0","15,680.0","","0.00%"
"10/30/2024","15,690.0","15,752.5","15,755.0","15,695.0","","-0.41%"
"10/29/2024","15,755.0","15,737.5","15,778.5","15,730.0","","0.22%"
"10/28/2024","15,720.0","15,695.0","15,740.0","15,687.5","","0.54%"
"10/25/2024","15,635.0","15,602.5","15,643.5","15,592.5","","0.39%"
"10/24/2024","15,575.0","15,640.0","15,650.0","15,580.0","","-0.26%"
"10/23/2024","15,615.0","15,595.0","15,636.0","15,586.0","","0.39%"
"10/22/2024","15,555.0","15,530.0","15,575.0","15,527.5","","0.42%"
"10/21/2024","15,490.0","15,460.0","15,502.5","15,425.0","","0.19%"
"10/18/2024","15,460.0","15,515.0","15,522.5","15,443.5","","-0.19%"
"10/17/2024","15,490.0","15,545.0","15,555.0","15,485.0","","-0.10%"
"10/16/2024","15,505.0","15,545.0","15,561.0","15,507.5","","-0.45%"
"10/15/2024","15,575.0","15,555.0","15,584.0","15,532.5","","0.13%"
"10/14/2024","15,555.0","15,590.0","15,615.0","15,557.5","","-0.13%"
"10/11/2024","15,575.0","15,665.0","15,672.5","15,577.5","","-0.54%"
"10/10/2024","15,660.0","15,655.0","15,677.5","15,632.5","","0.29%"
"10/09/2024","15,615.0","15,625.0","15,640.0","15,580.0","","-0.16%"
"10/08/2024","15,640.0","15,685.0","15,701.5","15,625.0","","-0.22%"
"10/07/2024","15,675.0","15,625.0","15,700.0","15,625.0","","1.26%"
"10/04/2024","15,480.0","15,495.0","15,532.5","15,467.5","","0.42%"
"10/03/2024","15,415.0","15,327.5","15,437.5","15,305.0","","1.02%"
"10/02/2024","15,260.0","15,200.0","15,285.0","15,200.0","","0.43%"
"10/01/2024","15,195.0","15,175.0","15,212.5","15,167.5","","0.40%"
"09/30/2024","15,135.0","15,125.0","15,192.5","15,109.0","","0.10%"
"09/27/2024","15,120.0","15,100.0","15,160.0","15,082.5","","-0.26%"
"09/26/2024","15,160.0","15,130.0","15,187.5","15,122.5","","0.43%"
"09/25/2024","15,095.0","15,115.0","15,127.5","15,065.0","","-0.56%"
"09/24/2024","15,180.0","15,195.0","15,212.5","15,172.5","","-0.10%"
"09/23/2024","15,195.0","15,145.0","15,212.5","15,137.5","","0.33%"
"09/20/2024","15,145.0","15,130.0","15,152.5","15,070.0","","-0.56%"
"09/19/2024","15,230.0","15,345.0","15,357.5","15,232.5","","-0.65%"
"09/18/2024","15,330.0","15,325.0","15,360.0","15,312.5","","0.00%"
"09/17/2024","15,330.0","15,370.0","15,375.0","15,315.0","","-0.41%"
"09/16/2024","15,393.1","15,400.0","15,408.5","15,354.0","","-0.01%"
"09/13/2024","15,395.0","15,417.5","15,455.0","15,390.0","","-0.19%"
